dept_rollup_name,fund_name,program_name,expense_category,budget,expenditures,source_lines,elapsed_pct,expected_spend_to_date,remaining_budget,utilization_pct,pace_variance,pace_gap_pct_points,linear_run_rate_proxy,projected_variance_proxy,pace_status
Economic Development,Economic Incentives Reserve Fund,Business Incentives and Expansion,Grants & contributions,7663380.0,5019616.54,1,75.0,5747535.0,2643763.46,65.50133935678512,-727918.46,-9.498660643214876,6692822.053333334,-970557.9466666663,Below pace
Aviation,Airport Operating Fund,"Transfers, Debt Service, and Other Requirements",Contractual services,7654670.0,6378891.7,1,75.0,5741002.5,1275778.2999999998,83.33333376879735,637889.2000000002,8.333333768797345,8505188.933333334,850518.9333333336,Above pace
Fire,General Fund,Support Services,Personnel & benefits,7534660.0,6437876.03,71,75.0,5650995.0,1096783.9699999997,85.44348424480998,786881.0300000003,10.44348424480998,8583834.706666667,1049174.706666667,Above pace
Austin Water,Austin Water Wastewater Utility Operating Fund,Customer Experience,Personnel & benefits,7392570.0,7551241.649999999,96,75.0,5544427.5,-158671.64999999944,102.14636655452705,2006814.1499999994,27.14636655452705,10068322.2,2675752.1999999993,Above pace
Public Works,Transportation Fund,Transportation Operations,Other operating costs,7382447.0,4615800.63,127,75.0,5536835.25,2766646.37,62.523992789924534,-921034.6200000001,-12.476007210075466,6154400.84,-1228046.1600000001,Below pace
Communications & Technology Management,Wireless Communication Services Fund,Wireless Communication Services,"Supplies, technology & equipment",7316612.0,6067432.13,37,75.0,5487459.0,1249179.87,82.92679904305436,579973.1299999999,7.926799043054359,8089909.506666667,773297.5066666668,Above pace
Development Services,Development Services Fund,Infrastructure & Environmental Inspections,Personnel & benefits,7255719.0,5257413.8,48,75.0,5441789.25,1998305.2000000002,72.45889483867829,-184375.4500000002,-2.5411051613217097,7009885.066666666,-245833.93333333358,Near pace
Public Works,Transportation Fund,Asset and Facility Management,Personnel & benefits,7253905.0,5960407.7,35,75.0,5440428.75,1293497.2999999998,82.16826247379859,519978.9500000002,7.168262473798592,7947210.266666667,693305.2666666666,Above pace
Austin Resource Recovery,Austin Resource Recovery Fund,Litter Abatement,Personnel & benefits,7171025.0,5218897.85,56,75.0,5378268.75,1952127.1500000004,72.77757154660596,-159370.90000000037,-2.222428453394045,6958530.466666666,-212494.53333333414,Near pace
Management Services,Support Services Fund,Communications and Engagement,Personnel & benefits,7123868.0,5657277.24,78,75.0,5342901.0,1466590.7599999998,79.41299923019348,314376.2400000002,4.412999230193478,7543036.32,419168.3200000003,Near pace
Emergency Medical Services,General Fund,Support Services,Personnel & benefits,7063962.0,5359443.23,87,75.0,5297971.5,1704518.7699999996,75.87021603457097,61471.73000000045,0.8702160345709729,7145924.306666668,81962.30666666757,Near pace
Emergency Medical Services,General Fund,"Transfers, Debt Service, and Other Requirements",Personnel & benefits,7018719.0,5787540.8,2,75.0,5264039.25,1231178.2000000002,82.45864808093899,523501.5499999998,7.4586480809389855,7716721.066666666,698002.0666666664,Above pace
Austin Convention Center,Convention Center Expansion,Interfund Transfers-Other,Transfers & debt service,7000000.0,0.0,1,75.0,5250000.0,7000000.0,0.0,-5250000.0,-75.0,0.0,-7000000.0,Below pace
Municipal Court,General Fund,Municipal Court Operations,Personnel & benefits,6995651.0,5047035.72,69,75.0,5246738.25,1948615.2800000003,72.14533315055311,-199702.53000000026,-2.854666849446886,6729380.96,-266270.04000000004,Near pace
Parks & Recreation,Golf Fund,Community Services,Personnel & benefits,6960938.0,5594664.95,129,75.0,5220703.5,1366273.0499999998,80.37228531557098,373961.4500000002,5.372285315570977,7459553.266666667,498615.2666666666,Above pace
Human Resources,Employee Benefits Fund,Employee Optional Benefit Coverage,"Supplies, technology & equipment",6905589.0,6029270.7,1,75.0,5179191.75,876318.2999999998,87.31001367153475,850078.9500000002,12.310013671534747,8039027.600000001,1133438.6000000006,Above pace
Law,Liability Reserve Fund,Liability Reserve,Other operating costs,6801000.0,1104762.4300000002,67,75.0,5100750.0,5696237.57,16.24411748272313,-3995987.57,-58.75588251727687,1473016.5733333335,-5327983.426666667,Below pace
Police,General Fund,Operations Support,"Supplies, technology & equipment",6796531.0,5994280.7,86,75.0,5097398.25,802250.2999999998,88.1961797864234,896882.4500000002,13.1961797864234,7992374.266666667,1195843.2666666666,Above pace
Public Works,Transportation Fund,Street Preventive Maintenance,Personnel & benefits,6763543.0,5886199.84,29,75.0,5072657.25,877343.1600000001,87.02834949079202,813542.5899999999,12.028349490792024,7848266.453333333,1084723.4533333331,Above pace
Aviation,Airport Operating Fund,"Facilities Management, Operations and Airport Security","Supplies, technology & equipment",6743676.0,5047399.84,134,75.0,5057757.0,1696276.1600000001,74.84641670210728,-10357.160000000149,-0.15358329789272318,6729866.453333333,-13809.546666666865,Near pace
Austin Convention Center,Convention Center Operating Fund,Support Services,Personnel & benefits,6709111.0,5142702.41,56,75.0,5031833.25,1566408.5899999999,76.65251640642106,110869.16000000015,1.6525164064210571,6856936.546666667,147825.54666666687,Near pace
Public Works,Capital Projects Management Fund,Business Enterprises,Personnel & benefits,6692182.0,4926030.84,53,75.0,5019136.5,1766151.1600000001,73.60873986989594,-93105.66000000015,-1.3912601301040581,6568041.12,-124140.87999999989,Near pace
Public Works,Parking Management Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,6651897.0,5401928.25,4,75.0,4988922.75,1249968.75,81.20883786985878,413005.5,6.208837869858783,7202571.0,550674.0,Above pace
Austin Resource Recovery,Austin Resource Recovery Fund,Operations Support,Personnel & benefits,6644039.0,5283048.01,74,75.0,4983029.25,1360990.9900000002,79.51560805106652,300018.7599999998,4.515608051066522,7044064.013333333,400025.0133333327,Near pace
Financial Services,Support Services Fund,"Transfers, Debt Service, and Other Requirements",Contractual services,6622220.0,3956285.97,3,75.0,4966665.0,2665934.03,59.742593420333364,-1010379.0299999998,-15.257406579666636,5275047.96,-1347172.04,Below pace
Austin Water,Austin Water Water Utility Operating Fund,"Transfers, Debt Service, and Other Requirements",Personnel & benefits,6602620.0,5444796.14,1,75.0,4951965.0,1157823.8600000003,82.46417543338856,492831.13999999966,7.4641754333885615,7259728.1866666665,657108.1866666665,Above pace
Communications & Technology Management,Information and Technology Fund,Information Security,Contractual services,6577748.0,3052094.44,20,75.0,4933311.0,3525653.56,46.40029444727892,-1881216.56,-28.599705552721083,4069459.2533333334,-2508288.7466666666,Below pace
Police,General Fund,Neighborhood-Based Policing,"Supplies, technology & equipment",6438511.0,4305517.85,121,75.0,4828883.25,2132993.1500000004,66.87132863483497,-523365.4000000004,-8.128671365165033,5740690.466666666,-697820.5333333341,Below pace
Austin Water,Austin Water Wastewater Utility Operating Fund,Operations,"Supplies, technology & equipment",6409348.0,4787967.88,236,75.0,4807011.0,1621380.12,74.70288522327075,-19043.12000000011,-0.297114776729245,6383957.173333333,-25390.826666667126,Near pace
Municipal Court,General Fund,Community Court,Contractual services,6393302.0,2724586.4899999998,16,75.0,4794976.5,3668715.5100000002,42.6162644905559,-2070390.0100000002,-32.3837355094441,3632781.9866666663,-2760520.0133333337,Below pace
Public Works,Transportation Fund,"Transfers, Debt Service, and Other Requirements",Personnel & benefits,6301883.0,5196795.76,2,75.0,4726412.25,1105087.2400000002,82.46417396197295,470383.5099999998,7.464173961972946,6929061.013333333,627178.0133333327,Above pace
Police,General Fund,Operations Support,Other operating costs,6265527.0,7543062.94,433,75.0,4699145.25,-1277535.9400000004,120.38991995405974,2843917.6900000004,45.389919954059735,10057417.253333334,3791890.253333334,Above pace
Development Services,Development Services Fund,"Transfers, Debt Service, and Other Requirements",Contractual services,6263692.0,5219743.3,1,75.0,4697769.0,1043948.7000000002,83.33333280116582,521974.2999999998,8.333332801165824,6959657.733333333,695965.7333333334,Above pace
Austin Water,Austin Water Wastewater Utility Operating Fund,"Environmental, Planning, and Development Services",Personnel & benefits,6222906.0,6259126.44,63,75.0,4667179.5,-36220.44000000041,100.58205025112062,1591946.9400000004,25.58205025112062,8345501.920000001,2122595.920000001,Above pace
Austin Public Health,General Fund,Environmental Health Services,Personnel & benefits,6216551.0,5003415.67,82,75.0,4662413.25,1213135.33,80.48539568001614,341002.4199999999,5.48539568001614,6671220.893333334,454669.89333333354,Above pace
"Office of Arts, Culture, Music and Entertainment",General Fund,Cultural Education and Heritage Preservation,Personnel & benefits,6196166.0,5775315.85,159,75.0,4647124.5,420850.1500000004,93.2078942042547,1128191.3499999996,18.2078942042547,7700421.133333333,1504255.1333333328,Above pace
Austin Public Health,General Fund,Health Equity and Community Engagement,Personnel & benefits,6174080.0,5113456.38,61,75.0,4630560.0,1060623.62,82.82134957758889,482896.3799999999,7.82134957758889,6817941.84,643861.8399999999,Above pace
Municipal Court,General Fund,Social Service Grants,Grants & contributions,6166090.0,4812439.69,2,75.0,4624567.5,1353650.3099999996,78.04686097672918,187872.1900000004,3.046860976729178,6416586.253333334,250496.25333333388,Near pace
Austin Resource Recovery,Austin Resource Recovery Fund,"Transfers, Debt Service, and Other Requirements",Contractual services,6106489.0,5088740.8,1,75.0,4579866.75,1017748.2000000002,83.33333278746592,508874.0499999998,8.33333278746592,6784987.733333333,678498.7333333334,Above pace
Aviation,Airport Operating Fund,Support Services,"Supplies, technology & equipment",6096039.0,3391090.63,76,75.0,4572029.25,2704948.37,55.62777124621414,-1180938.62,-19.372228753785862,4521454.173333333,-1574584.8266666671,Below pace
Building Services,Facilities Management Fund,Facility and Project Management,Other operating costs,6084928.0,3281301.82,295,75.0,4563696.0,2803626.18,53.92507224407586,-1282394.1800000002,-21.074927755924143,4375069.093333333,-1709858.9066666672,Below pace
Austin Public Health,General Fund,"Transfers, Debt Service, and Other Requirements",Other operating costs,6079537.0,5058084.38,12,75.0,4559652.75,1021452.6200000001,83.19851297886665,498431.6299999999,8.198512978866646,6744112.506666667,664575.5066666668,Above pace
Austin Water,Austin Water Wastewater Utility Operating Fund,"Transfers, Debt Service, and Other Requirements",Personnel & benefits,6070317.0,5005837.5,1,75.0,4552737.75,1064479.5,82.46418597249534,453099.75,7.464185972495343,6674450.0,604133.0,Above pace
Aviation,Airport Operating Fund,"Transfers, Debt Service, and Other Requirements",Personnel & benefits,6015970.0,4961019.96,1,75.0,4511977.5,1054950.04,82.46417385724995,449042.45999999996,7.464173857249946,6614693.28,598723.2800000003,Above pace
Parks & Recreation,General Fund,Community Services,Other operating costs,5948547.4,5295187.01,1772,75.0,4461410.550000001,653360.3900000006,89.01647165154975,833776.459999999,14.01647165154975,7060249.346666667,1111701.9466666663,Above pace
Aviation,Airport Operating Fund,Support Services,Other operating costs,5834104.0,4168415.36,346,75.0,4375578.0,1665688.6400000001,71.44910958049428,-207162.64000000013,-3.55089041950572,5557887.1466666665,-276216.8533333335,Near pace
Management Services,Support Services Fund,Budget and Organizational Excellence,Personnel & benefits,5761090.0,4643332.49,47,75.0,4320817.5,1117757.5099999998,80.59815920251202,322514.9900000002,5.598159202512022,6191109.986666667,430019.9866666673,Above pace
Emergency Medical Services,General Fund,Clinical Navigation,"Supplies, technology & equipment",5734927.0,3714376.84,40,75.0,4301195.25,2020550.1600000001,64.76763941371878,-586818.4100000001,-10.232360586281217,4952502.453333333,-782424.5466666669,Below pace
Austin Public Health,General Fund,Disease Prevention & Health Promotion,Personnel & benefits,5680522.0,4817854.34,66,75.0,4260391.5,862667.6600000001,84.81358473745898,557462.8399999999,9.813584737458982,6423805.786666666,743283.7866666662,Above pace
Watershed Protection,Drainage Utility Fund,"Transfers, Debt Service, and Other Requirements",Contractual services,5663550.0,4719625.0,1,75.0,4247662.5,943925.0,83.33333333333333,471962.5,8.333333333333329,6292833.333333333,629283.333333333,Above pace
Municipal Court,General Fund,"Transfers, Debt Service, and Other Requirements",Contractual services,5616922.0,4682873.5,1,75.0,4212691.5,934048.5,83.37081234170601,470182.0,8.370812341706014,6243831.333333333,626909.333333333,Above pace
Development Services,Austin Code Fund,Support Services,Personnel & benefits,5596509.0,5477617.13,125,75.0,4197381.75,118891.87000000011,97.8756065611616,1280235.38,22.875606561161604,7303489.506666667,1706980.5066666668,Above pace
Austin Water,Austin Water Water Utility Operating Fund,Support Services,Contractual services,5547889.0,4892623.46,66,75.0,4160916.75,655265.54,88.18892122751555,731706.71,13.18892122751555,6523497.946666666,975608.9466666663,Above pace
Austin Water,Austin Water Water Utility Operating Fund,Operations,"Supplies, technology & equipment",5534248.0,3392532.96,258,75.0,4150686.0,2141715.04,61.300703546353546,-758153.04,-13.699296453646454,4523377.28,-1010870.7199999997,Below pace
Human Resources,Workers' Compensation Fund,Operations and Administration,Contractual services,5452969.0,4328167.27,4,75.0,4089726.75,1124801.7300000004,79.37267330879746,238440.51999999955,4.372673308797459,5770889.693333332,317920.6933333324,Near pace
Communications & Technology Management,Information and Technology Fund,Customer Delivery,"Supplies, technology & equipment",5386260.0,4782133.66,28,75.0,4039695.0,604126.3399999999,88.78393653481265,742438.6600000001,13.783936534812653,6376178.213333334,989918.2133333338,Above pace
Austin Water,Austin Water Water Utility Operating Fund,"Environmental, Planning, and Development Services",Other operating costs,5384947.0,1497467.35,199,75.0,4038710.25,3887479.65,27.80839532868197,-2541242.9,-47.19160467131803,1996623.1333333335,-3388323.866666666,Below pace
Parks & Recreation,General Fund,"Transfers, Debt Service, and Other Requirements",Personnel & benefits,5360056.0,4420125.8,1,75.0,4020042.0,939930.2000000002,82.46417201611327,400083.7999999998,7.464172016113267,5893501.066666666,533445.0666666664,Above pace
Communications & Technology Management,Wireless Communication Services Fund,Wireless Communication Services,Personnel & benefits,5326732.0,3414219.88,55,75.0,3995049.0,1912512.12,64.09595752142214,-580829.1200000001,-10.904042478577864,4552293.173333333,-774438.8266666671,Below pace
Nondepartmental,Support Services Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,5313132.0,4670147.0,3,75.0,3984849.0,642985.0,87.89819262913099,685298.0,12.898192629130989,6226862.666666667,913730.666666667,Above pace
Aviation,Airport Operating Fund,"Transfers, Debt Service, and Other Requirements",Other operating costs,5278770.0,4450573.9,5,75.0,3959077.5,828196.0999999996,84.31081293558917,491496.4000000004,9.31081293558917,5934098.533333334,655328.5333333341,Above pace
Financial Services,Mueller Local Government Corp,Mueller Development,Transfers & debt service,5255966.0,455568.63,2,75.0,3941974.5,4800397.37,8.667647964237212,-3486405.87,-66.3323520357628,607424.84,-4648541.16,Below pace
Fleet Services,Fleet Services Fund,Support Services,Personnel & benefits,5254857.0,2736564.2,36,75.0,3941142.75,2518292.8,52.076853851589114,-1204578.5499999998,-22.923146148410886,3648752.266666667,-1606104.733333333,Below pace
Financial Services,Support Services Fund,Financial Systems Information Technology,Personnel & benefits,5237021.0,4427320.23,11,75.0,3927765.75,809700.7699999996,84.53890541970331,499554.48000000045,9.538905419703312,5903093.640000001,666072.6400000006,Above pace
Management Services,Support Services Fund,City Manager's Office,Personnel & benefits,5095713.0,3773313.58,103,75.0,3821784.75,1322399.42,74.0487853220933,-48471.169999999925,-0.9512146779067052,5031084.773333333,-64628.22666666657,Near pace
Police,General Fund,Investigations,Grants & contributions,5075606.0,3403175.1999999997,41,75.0,3806704.5,1672430.8000000003,67.0496330881475,-403529.3000000003,-7.950366911852498,4537566.933333333,-538039.0666666673,Below pace
Homeless Strategy Office,Neighborhood Housing-Housing Trust Fund,Homeless Diversion Services,Grants & contributions,5057474.0,0.0,2,75.0,3793105.5,5057474.0,0.0,-3793105.5,-75.0,0.0,-5057474.0,Below pace
Human Resources,Employee Benefits Fund,Support Services,Contractual services,5015630.0,2709096.4299999997,6,75.0,3761722.5,2306533.5700000003,54.013083700352695,-1052626.0700000003,-20.986916299647305,3612128.573333333,-1403501.4266666672,Below pace
Homeless Strategy Office,General Fund,Homeless Strategy Office,Grants & contributions,5000000.0,2188783.56,2,75.0,3750000.0,2811216.44,43.7756712,-1561216.44,-31.224328800000002,2918378.08,-2081621.92,Below pace
Austin Convention Center,Convention Center Palmer Events Center Operating Fund,Event Operations,Personnel & benefits,4996360.0,3587229.88,88,75.0,3747270.0,1409130.12,71.79686571824288,-160040.1200000001,-3.203134281757116,4782973.173333333,-213386.82666666713,Near pace
Austin Convention Center,Convention Center Palmer Events Center Operating Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,4994360.0,5254004.0,2,75.0,3745770.0,-259644.0,105.19874418343892,1508234.0,30.19874418343892,7005338.666666667,2010978.666666667,Above pace
Development Services,Development Services Fund,Support Services,Other operating costs,4988773.0,1386189.0,279,75.0,3741579.75,3602584.0,27.78617106851725,-2355390.75,-47.21382893148275,1848252.0,-3140521.0,Below pace
Austin Energy,Austin Energy Fund,"Power Generation, Market Operations & Resource Planning","Supplies, technology & equipment",4983961.0,2584524.07,132,75.0,3737970.75,2399436.93,51.8568277319987,-1153446.6800000002,-23.1431722680013,3446032.0933333333,-1537928.9066666667,Below pace
Neighborhood Housing & Community Development,Neighborhood Housing University Neighborhood Overlay Fund,Housing,Grants & contributions,4956769.0,0.0,2,75.0,3717576.75,4956769.0,0.0,-3717576.75,-75.0,0.0,-4956769.0,Below pace
Enterprise Debt Service,Convention Center Waller Creek Venue Debt Service Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,4915875.0,1750875.0,3,75.0,3686906.25,3165000.0,35.616751849874134,-1936031.25,-39.383248150125866,2334500.0,-2581375.0,Below pace
Austin Public Health,General Fund,"Transfers, Debt Service, and Other Requirements",Personnel & benefits,4877971.0,2103807.22,2,75.0,3658478.25,2774163.78,43.12873569769071,-1554671.0299999998,-31.871264302309292,2805076.2933333335,-2072894.7066666665,Below pace
Development Services,Austin Code Fund,"Transfers, Debt Service, and Other Requirements",Other operating costs,4826465.0,4062529.1,8,75.0,3619848.75,763935.8999999999,84.1719374324687,442680.3500000001,9.171937432468695,5416705.466666667,590240.4666666668,Above pace
Human Resources,Employee Benefits Fund,City-Funded Benefits,Other operating costs,4818243.0,4417603.3,4,75.0,3613682.25,400639.7000000002,91.68494200064214,803921.0499999998,16.68494200064214,5890137.733333333,1071894.7333333334,Above pace
Austin Water,Austin Water Wastewater Utility Operating Fund,Support Services,Contractual services,4803471.0,3736253.02,66,75.0,3602603.25,1067217.98,77.78235821554871,133649.77000000002,2.7823582155487117,4981670.693333333,178199.69333333336,Near pace
"Office of Arts, Culture, Music and Entertainment",Live Music Fund,Music and Entertainment,Grants & contributions,4800000.0,968000.0,1,75.0,3600000.0,3832000.0,20.166666666666668,-2632000.0,-54.83333333333333,1290666.6666666667,-3509333.333333333,Below pace
Homeless Strategy Office,Pay for Success Reserve Fund,Pay for Success,Grants & contributions,4760739.0,0.0,1,75.0,3570554.25,4760739.0,0.0,-3570554.25,-75.0,0.0,-4760739.0,Below pace
Aviation,Airport Operating Fund,Airport Planning & Development,Personnel & benefits,4754700.0,4094212.36,45,75.0,3566025.0,660487.6400000001,86.1087420867773,528187.3599999999,11.108742086777298,5458949.8133333335,704249.8133333335,Above pace
Police,General Fund,Support Services,Other operating costs,4717849.0,3025873.51,222,75.0,3538386.75,1691975.4900000002,64.13671802552392,-512513.2400000002,-10.863281974476081,4034498.013333333,-683350.9866666668,Below pace
Financial Services,Support Services Fund,Support Services,Personnel & benefits,4714651.0,4414264.84,67,75.0,3535988.25,300386.16000000015,93.62866604548248,878276.5899999999,18.628666045482476,5885686.453333333,1171035.4533333331,Above pace
Austin Public Health,General Fund,Community Services,Personnel & benefits,4696543.0,4001263.32,113,75.0,3522407.25,695279.6800000002,85.1959264505829,478856.06999999983,10.195926450582903,5335017.76,638474.7599999998,Above pace
Financial Services,Support Services Fund,Real Estate and Facilities Governance,Personnel & benefits,4675764.0,3842186.35,44,75.0,3506823.0,833577.6499999999,82.1723754663409,335363.3500000001,7.172375466340895,5122915.133333334,447151.13333333377,Above pace
Financial Services,Support Services Fund,"Transfers, Debt Service, and Other Requirements",Other operating costs,4661874.0,3972658.8,5,75.0,3496405.5,689215.2000000002,85.21591960657881,476253.2999999998,10.215919606578808,5296878.399999999,635004.3999999994,Above pace
Watershed Protection,Regional Stm Wtr Programs,Drainage Cip Transfers To,Transfers & debt service,4661667.0,3496250.25,1,75.0,3496250.25,1165416.75,75.0,0.0,0.0,4661667.0,0.0,Near pace
Human Resources,Employee Benefits Fund,Employee Medical,Grants & contributions,4633525.0,4472251.29,1,75.0,3475143.75,161273.70999999996,96.51941642701831,997107.54,21.519416427018314,5963001.72,1329476.7199999997,Above pace
Communications & Technology Management,Information and Technology Fund,Customer Engagement,Personnel & benefits,4607995.0,4864757.0,36,75.0,3455996.25,-256762.0,105.57209806000223,1408760.75,30.572098060002233,6486342.666666667,1878347.666666667,Above pace
Municipal Court,General Fund,Community Court,Personnel & benefits,4591374.0,3896166.4699999997,54,75.0,3443530.5,695207.5300000003,84.85839903262074,452635.96999999974,9.858399032620738,5194888.626666666,603514.626666666,Above pace
Austin Water,Austin Water Water Utility Operating Fund,Customer Experience,Other operating costs,4587853.0,3666163.31,233,75.0,3440889.75,921689.69,79.91021748081292,225273.56000000006,4.910217480812918,4888217.746666667,300364.74666666705,Near pace
Economic Development,General Fund,Social Services Grants- EDD,Grants & contributions,4565557.0,3368264.8899999997,2,75.0,3424167.75,1197292.1100000003,73.77555224915601,-55902.860000000335,-1.2244477508439928,4491019.853333333,-74537.14666666742,Near pace
Communications & Technology Management,Information and Technology Fund,Information Security,Personnel & benefits,4492074.0,3359156.0500000003,44,75.0,3369055.5,1132917.9499999997,74.77962406674511,-9899.44999999972,-0.22037593325488558,4478874.733333333,-13199.266666666605,Near pace
Development Services,Development Services Fund,"Transfers, Debt Service, and Other Requirements",Other operating costs,4472062.0,3788132.8,7,75.0,3354046.5,683929.2000000002,84.70662526592878,434086.2999999998,9.706625265928778,5050843.733333333,578781.7333333334,Above pace
Fire,General Fund,Operations Support,"Supplies, technology & equipment",4453171.0,1930434.12,124,75.0,3339878.25,2522736.88,43.34965174254481,-1409444.13,-31.650348257455192,2573912.16,-1879258.8399999999,Below pace
Austin Resource Recovery,Austin Resource Recovery Fund,Waste Diversion,Personnel & benefits,4442176.0,3410192.25,77,75.0,3331632.0,1031983.75,76.76850827162184,78560.25,1.7685082716218403,4546923.0,104747.0,Near pace
Management Services,Support Services Fund,Emergency Management,Personnel & benefits,4408273.0,3172148.44,37,75.0,3306204.75,1236124.56,71.95898348400836,-134056.31000000006,-3.041016515991643,4229531.253333333,-178741.74666666705,Near pace
Nondepartmental,General Fund,"Transfers, Debt Service, and Other Requirements",Other operating costs,4371731.0,538004.91,1,75.0,3278798.25,3833726.09,12.30645046550211,-2740793.34,-62.69354953449789,717339.88,-3654391.12,Below pace
Management Services,Urban Forest Replenishment Fund,Community Tree Preservation,Other operating costs,4276950.0,2481667.4699999997,8,75.0,3207712.5,1795282.5300000003,58.024233858240095,-726045.0300000003,-16.975766141759905,3308889.9599999995,-968060.0400000005,Below pace
Municipal Court,General Fund,Support Services,Other operating costs,4263651.0,2892238.3800000004,90,75.0,3197738.25,1371412.6199999996,67.83478244349739,-305499.86999999965,-7.165217556502611,3856317.8400000003,-407333.1599999997,Below pace
Austin Water,Austin Water Wastewater Utility Operating Fund,Engineering and Technical Services,Other operating costs,4223705.0,2330209.0100000002,187,75.0,3167778.75,1893495.9899999998,55.169786005414686,-837569.7399999998,-19.830213994585314,3106945.346666667,-1116759.6533333329,Below pace
Financial Services,Whisper Valley Public Improvement District Fund,Public Improvement District,Contractual services,4187399.0,1743588.0499999998,4,75.0,3140549.25,2443810.95,41.638927888171146,-1396961.2000000002,-33.361072111828854,2324784.0666666664,-1862614.9333333336,Below pace
Austin Water,Austin Water Water Utility Operating Fund,"Environmental, Planning, and Development Services",Contractual services,4049446.0,1801118.86,26,75.0,3037084.5,2248327.1399999997,44.47815478956875,-1235965.64,-30.521845210431252,2401491.8133333335,-1647954.1866666665,Below pace
Parks & Recreation,General Fund,"Park Planning, Development, and Operations",Other operating costs,4036993.0,2705574.39,750,75.0,3027744.75,1331418.6099999999,67.01954623156394,-322170.35999999987,-7.980453768436064,3607432.52,-429560.48,Below pace
Development Services,Development Services Fund,"Transfers, Debt Service, and Other Requirements",Personnel & benefits,4034718.0,3327196.84,1,75.0,3026038.5,707521.1600000001,82.46417320863564,301158.33999999985,7.464173208635643,4436262.453333333,401544.45333333313,Above pace
Parks & Recreation,Golf Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,4000000.0,3000000.0,1,75.0,3000000.0,1000000.0,75.0,0.0,0.0,4000000.0,0.0,Near pace
Austin Public Library,General Fund,"Transfers, Debt Service, and Other Requirements",Contractual services,3987325.0,3324265.2,1,75.0,2990493.75,663059.7999999998,83.37081125817434,333771.4500000002,8.370811258174342,4432353.600000001,445028.60000000056,Above pace
Watershed Protection,Drainage Utility Fund,"Transfers, Debt Service, and Other Requirements",Personnel & benefits,3976068.0,3274489.92,3,75.0,2982051.0,701578.0800000001,82.35497783237108,292438.9199999999,7.354977832371077,4365986.56,389918.5599999996,Above pace
Austin Resource Recovery,Austin Resource Recovery Fund,Collection Services,"Supplies, technology & equipment",3963384.0,3231664.09,66,75.0,2972538.0,731719.9100000001,81.53800111218091,259126.08999999985,6.538001112180908,4308885.453333333,345501.45333333313,Above pace
Austin Public Library,General Fund,Materials Management Services,Contractual services,3957838.0,3427722.7,5,75.0,2968378.5,530115.2999999998,86.60593738298536,459344.2000000002,11.60593738298536,4570296.933333334,612458.9333333336,Above pace
Austin Convention Center,Convention Center Palmer Events Center Revenue Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,3948374.0,3290311.7,1,75.0,2961280.5,658062.2999999998,83.33333417756272,329031.2000000002,8.333334177562719,4387082.266666667,438708.2666666666,Above pace
Austin Water,Austin Water Water Utility Operating Fund,Support Services,Other operating costs,3850767.0,2201040.8400000003,552,75.0,2888075.25,1649726.1599999997,57.158504786189354,-687034.4099999997,-17.841495213810646,2934721.1200000006,-916045.8799999994,Below pace
Austin Water,Austin Water Wastewater Utility Operating Fund,Support Services,Other operating costs,3835131.0,3243995.6,564,75.0,2876348.25,591135.3999999999,84.58630487459229,367647.3500000001,9.586304874592287,4325327.466666667,490196.4666666668,Above pace
Austin Resource Recovery,Austin Resource Recovery Fund,"Transfers, Debt Service, and Other Requirements",Personnel & benefits,3797018.0,3130175.02,2,75.0,2847763.5,666842.98,82.43771875719314,282411.52,7.437718757193139,4173566.6933333334,376548.69333333336,Above pace
Austin Public Library,General Fund,Materials Management Services,Other operating costs,3785460.0,1742621.53,28,75.0,2839095.0,2042838.47,46.034604248889174,-1096473.47,-28.965395751110826,2323495.3733333335,-1461964.6266666665,Below pace
Police,General Fund,"Transfers, Debt Service, and Other Requirements",Personnel & benefits,3780167.0,3101774.16,2,75.0,2835125.25,678392.8399999999,82.05389232803736,266648.91000000015,7.053892328037364,4135698.8800000004,355531.88000000035,Above pace
Watershed Protection,Drainage Utility Fund,Support Services,Other operating costs,3762960.0,1856015.5,250,75.0,2822220.0,1906944.5,49.323285392350705,-966204.5,-25.676714607649295,2474687.3333333335,-1288272.6666666665,Below pace
Parks & Recreation,General Fund,"Park Planning, Development, and Operations",Contractual services,3748402.0,2713367.99,128,75.0,2811301.5,1035034.0099999998,72.38732638601729,-97933.50999999978,-2.6126736139827074,3617823.986666667,-130578.01333333319,Near pace
Mayor & Council,Support Services Fund,Mayor and City Council Offices,Other operating costs,3704880.0,1613555.0,255,75.0,2778660.0,2091325.0,43.552152836259204,-1165105.0,-31.447847163740796,2151406.6666666665,-1553473.3333333335,Below pace
Financial Services,Support Services Fund,"Transfers, Debt Service, and Other Requirements",Personnel & benefits,3670290.0,3026673.88,1,75.0,2752717.5,643616.1200000001,82.46416168749609,273956.3799999999,7.464161687496087,4035565.1733333333,365275.17333333334,Above pace
